name,0,1,2,3,4,5,converged
25124A,300.0,365.6140304358499,365.96313897233483,365.6581985950461,365.9490148717374,365.9490148717374,True
25124B,300.0,289.8922040518806,287.4529603164279,279.0778112765057,281.22741271646726,281.22741271646726,True
25124C,300.0,244.20532426435392,247.56825757867853,229.637690709876,264.4616304363877,242.94039311785946,True
44739,300.0,188.10482188615566,194.76601502369215,193.16898000201272,193.97394724950183,193.97394724950183,True
19670AB,300.0,275.70375540803417,264.9486927968536,267.5515864764917,269.5628189769842,269.5628189769842,True
19670A,300.0,227.23509519810068,218.7494272156145,220.17430720613584,213.55486511029366,213.55486511029366,True
19670B,300.0,298.2497501247391,276.8435762291994,294.6838627510148,275.606545582909,275.606545582909,True
19670C,300.0,279.99201954781904,,,,,False
19670D,300.0,317.5843445312948,307.2786570363237,293.223436910193,319.79203830317596,319.79203830317596,True
12833A,300.0,226.48286251363635,225.2188898554771,224.9573617504126,225.33972119146094,225.33972119146094,True
12833B,300.0,,,,,,False
J083829.2+441904.8,300.0,,,,,,False
44858,300.0,305.75345270484877,308.89346535359175,310.6651360150512,309.3192230884462,309.3192230884462,True
J215504.8-093520,300.0,255.64893270803995,257.69272767109794,258.3167955205245,258.13568153026966,258.13568153026966,True
J215437.2-091532.4,300.0,109.91156279664554,179.2077914281949,162.18062522842214,167.2259058394529,167.2259058394529,True
50433,300.0,212.7519833776746,209.79741328553715,206.17199758092414,205.22405631511492,205.22405631511492,True
