name,0,1,2,3,4,5,6,7,8,9,10,converged
12833B,200.0,208.92557757264484,206.4092898128142,203.4789403205045,207.16898689228702,207.16898689228702,207.16898689228702,207.16898689228702,207.16898689228702,207.16898689228702,207.16898689228702,True
PHL1811B,200.0,185.63937906052416,186.93765690849227,187.78222428135447,187.472640578233,187.472640578233,187.472640578233,187.472640578233,187.472640578233,187.472640578233,187.472640578233,True
25124B,200.0,271.17418810921845,288.3813303632156,312.53779292533807,381.1257389799916,142.75265297724843,327.6691778348079,413.5863504442245,350.76354395772944,142.76497156662754,327.6249269731517,False
