name,ra,dec,redshift,r500,r500+-,froz_Tx500,froz_Tx500+-,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
25124A,243.6290552,26.73024,0.186,872.1983655872773,15.224997431157778,3.8807428662565693,0.08051583586417686,7.397768910000001e+43,1.25904093361501e+42,1.38523528833117e+42,2.142851732e+44,3.79215440570968e+42,4.38106669917078e+42,4.662507876e+43,1.19579425724915e+42,1.5789491122689402e+42,1.3504187270000002e+44,3.806472453082091e+42,2.0312622003279002e+42
25124B,243.504,26.691,0.186,532.4088148907539,22.907659016834312,1.6355060425826178,0.08953733936795749,4.2422972800000004e+42,4.3681399979348005e+41,4.981881653081001e+41,8.886823784000001e+42,1.00602769467772e+42,1.0966578915952202e+42,3.5088938330000004e+42,4.570862805744701e+41,3.6899547829076005e+41,7.354229239e+42,1.27410091748875e+42,1.04602610937311e+42
25124C,243.541,26.648,0.186,572.9470582723874,20.613700943605366,1.8757229998414073,0.08489872195350891,6.675788385000001e+42,4.8555496177483005e+41,5.5283164493055e+41,1.4555366580000003e+43,1.1196384861221101e+42,1.2121005802397101e+42,6.320727950000001e+42,5.077256523168801e+41,3.915619656399801e+41,1.3824201580000002e+43,1.25826822793367e+42,1.16962414399343e+42
44739,229.79362,28.33175,0.118,558.7499704495475,22.45260445618381,1.6679371524827937,0.08609237194216225,4.031546920000001e+42,3.2089883422274e+41,4.207771948111601e+41,8.554762519000001e+42,7.6607343225325e+41,8.3900610222232e+41,3.53657208e+42,3.767248660587e+41,3.3698849340273004e+41,7.499966793000001e+42,9.1616287702406e+41,7.247953714050801e+41
19670AB,150.2264016,50.8005648,0.134,532.2858112347699,23.104072184608395,1.556802940173071,0.08859954839029957,3.2962819770000004e+42,3.3061239380016e+41,3.9903398542512e+41,6.833903283e+42,7.590238321711101e+41,7.7584120264321e+41,2.90781023e+42,3.6682381236258e+41,3.1747203403129004e+41,6.02861e+42,9.183418517255702e+41,7.251983653673301e+41
19670A,150.25671,50.793942,0.134,467.7999809099596,26.836457435191605,1.249149725894466,0.09090770746046352,1.591046756e+42,2.3545385157682002e+41,3.1918889182460004e+41,3.0344541190000005e+42,5.1946644064519e+41,5.3636445240693006e+41,1.1697652980000001e+42,2.8940988556551002e+41,2.6389826792739003e+41,2.2368919730000002e+42,6.617448221165601e+41,4.7799890020505e+41
19670B,150.21492,50.805014,0.134,562.6888610383671,21.758438608945866,1.7336571275917307,0.08496681869260177,4.7056760330000005e+42,3.4329648529647e+41,4.2039840755961e+41,1.006058517e+43,8.372216692485901e+41,8.5520704472948e+41,3.766683002e+42,3.9547292480337e+41,3.4421189988065e+41,8.077988519000001e+42,1.0002544436331701e+42,7.8572686039612e+41
19670C,150.065,50.746,0.134,,,,,,,,,,,,,,,,
19670D,150.168,50.686,0.134,476.4659184741299,26.584039775933167,1.3096152014703788,0.10015275408842446,1.8603759460000002e+42,3.2447584008905003e+41,3.8373703306323e+41,3.6270008930000003e+42,5.152523853584901e+41,7.0139251927796e+41,1.3257147820000002e+42,3.3081987468991e+41,2.8620669445399003e+41,2.584772894e+42,6.964880838958301e+41,5.6209397546941e+41
12833A,129.4968,44.2487,0.145,556.7035628745726,21.750503776395092,1.7011496138648934,0.08510414785957827,4.5029620840000006e+42,3.4606182706308002e+41,4.5796964059308e+41,9.600239353e+42,8.188792580746801e+41,9.0843366898522e+41,3.050146262e+42,3.7491517819248e+41,3.2789961271047007e+41,6.503218371e+42,8.9927349242853e+41,7.0127179849344e+41
