name,0,1,2,3,4,5,6,7,8,9,10,converged
25124A,400.0,803.6565569783536,874.8581916700219,870.6373846873644,868.8301583678008,868.8301583678008,868.8301583678008,868.8301583678008,868.8301583678008,868.8301583678008,868.8301583678008,True
25124B,400.0,359.66712916721116,480.5031457877965,380.48215519851556,382.1994351646004,382.1994351646004,382.1994351646004,382.1994351646004,382.1994351646004,382.1994351646004,382.1994351646004,True
25124C,400.0,418.3141545561518,448.2326058286658,478.0665491819524,472.39251552291137,472.39251552291137,472.39251552291137,472.39251552291137,472.39251552291137,472.39251552291137,472.39251552291137,True
44739,400.0,428.3212545529306,419.58307938025234,426.6115315601539,417.32180796069554,417.3218079606956,417.32180796069565,417.32180796069565,417.32180796069565,417.32180796069565,417.32180796069565,True
19670AB,400.0,490.7075722795263,541.7401055701696,498.2895269443534,523.0106559945278,523.010655994528,523.010655994528,523.010655994528,523.010655994528,523.010655994528,523.010655994528,True
19670A,400.0,488.2243521409867,456.54908847129656,473.9457026709606,460.1794205662417,460.1794205662417,460.1794205662417,460.1794205662417,460.1794205662417,460.1794205662417,460.1794205662417,True
19670B,400.0,627.6800057847421,475.85953895152096,567.2861602142963,495.3145852544899,545.9034545111341,526.7746654583509,526.7746654583509,526.7746654583509,526.7746654583509,526.7746654583509,True
19670C,400.0,493.7983309117779,219.89054704201723,857.463873242555,,,,,,,,False
19670D,400.0,737.5168560290052,389.06084273213713,,,,,,,,,False
12833A,400.0,479.8185648770064,484.7871319316092,482.6879971431513,483.05978761360365,483.05978761360365,483.05978761360365,483.05978761360365,483.05978761360365,483.05978761360365,483.05978761360365,True
12833B,400.0,431.74897522696733,418.190623815764,434.6277705948337,418.88933405910416,418.88933405910416,418.88933405910416,418.88933405910416,418.88933405910416,418.88933405910416,418.88933405910416,True
J083829.2+441904.8,400.0,,,,,,,,,,,False
44858,400.0,648.0340903642879,605.9134668391939,614.7206675451155,624.5817651555694,624.5817651555694,624.5817651555694,624.5817651555694,624.5817651555694,624.5817651555694,624.5817651555694,True
J215504.8-093520,400.0,603.0350751815095,566.399742653118,569.4135600294487,566.7729793059274,566.7729793059274,566.7729793059274,566.7729793059274,566.7729793059274,566.7729793059274,566.7729793059274,True
J215437.2-091532.4,400.0,246.10169233392122,386.9757570235724,247.64765312489124,387.22065190254455,246.8498247724394,388.1993251076543,247.85099687368412,386.43037431482617,247.1161051524622,388.6515108354899,False
50433,400.0,518.3583565330142,457.6606909041498,486.18365840160396,456.6678326106668,456.6678326106668,456.6678326106668,456.6678326106668,456.6678326106668,456.6678326106668,456.6678326106668,True
