name,ra,dec,redshift,r500,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
12833B,129.44508999,44.37863255,0.147,446.1544878184789,1.19834,0.102703089,0.1468238610000001,2.6839929070000003e+42,2.8179731002698e+41,3.8218361471728e+41,5.0412543030000006e+42,6.860842327116701e+41,7.3194543325015e+41,0.942106,0.1151951055,0.1444147889999999,1.422720575e+42,3.1672322528752e+41,2.4651483902852003e+41,2.3980639480000002e+42,5.0140451332288004e+41,4.7213150566398e+41
PHL1811B,328.65528456,-9.25911786,0.078,218.28060595858207,0.861658,0.0406581266,0.0422520908999999,6.8972637030000005e+41,9.353338061064001e+40,1.0706962420520001e+41,1.1289810360000001e+42,1.2693254666858002e+41,1.4839539542977e+41,0.84476,0.0606974513999999,0.0612629910000001,4.5076432170000005e+41,6.21431777167e+40,7.064220716930001e+40,7.332803074000001e+41,1.3482992555279e+41,1.2668871930036002e+41
25124B,243.5057968,26.6870772,0.187,703.9814903192781,0.975398,0.154552209,0.201959556,2.141008185e+42,5.2125792955831e+41,6.433500642892301e+41,3.6506350160000004e+42,9.961568997859002e+41,1.1066821530969301e+42,0.958811,0.2385861744999999,0.2584572669999999,1.2354736630000002e+42,7.251885742082701e+41,4.4094291952191e+41,2.0915548030000004e+42,1.24016888500349e+42,8.637601377365201e+41
