name,0,1,2,3,4,converged
25124A,300.0,397.5980221009773,405.4706305670556,406.1501370293015,406.09866077355065,True
25124B,300.0,268.5367801983334,262.76096852378646,260.85121705868306,260.889129978684,True
25124C,300.0,266.9074375568589,258.8704663794685,255.79547340024777,253.11535637697014,True
44739,300.0,260.9179786031469,250.7359057783613,249.01211047055713,248.62167001090532,True
19670AB,300.0,271.52612583521216,264.2584898701561,262.2150857935229,260.95757447048163,True
19670A,300.0,250.75534370939772,234.5334542440258,227.7453820059894,226.2611689677437,True
19670B,300.0,273.1516264515414,268.39247364995504,265.8147487846274,265.5148700627434,True
19670C,300.0,222.15945228855628,37.80481792879098,,,False
19670D,300.0,250.9353909217374,248.91858941193496,247.84725279946937,248.19941486626058,True
12833A,300.0,270.9893855097365,270.70789106213704,270.58404925755315,270.61255833903505,True
12833B,300.0,31.851230721293742,,,,False
J083829.2+441904.8,300.0,217.25807910472497,,,,False
44858,300.0,347.58362436350217,353.02117899226397,354.02640385704973,353.94445138329974,True
J215504.8-093520,300.0,318.44169846259996,320.4268076559617,320.1976223160558,320.290493159381,True
J215437.2-091532.4,300.0,188.94478846028736,201.6672725399715,202.08003005207155,201.91392109787384,True
50433,300.0,258.3501849700324,262.48278280040876,261.41436282770536,262.2797732814396,True
