name,0,1,2,3,4,5,6,7,8,9,10,converged
25124A,400.0,825.1316798278133,869.1435839303551,871.8590978621694,872.1983655872773,872.1983655872773,872.1983655872773,872.1983655872773,872.1983655872773,872.1983655872773,872.1983655872773,True
25124B,400.0,500.9791780610511,523.9756636452889,535.9745381829516,532.4088148907539,532.4088148907539,532.4088148907539,532.4088148907539,532.4088148907539,532.4088148907539,532.4088148907539,True
25124C,400.0,524.5016778342542,556.4472732806962,566.5252364116287,572.9470582723874,572.9470582723874,572.9470582723874,572.9470582723874,572.9470582723874,572.9470582723874,572.9470582723874,True
44739,400.0,494.07684275710966,556.2563759348399,558.361809263492,558.7499704495475,558.7499704495475,558.7499704495475,558.7499704495475,558.7499704495475,558.7499704495475,558.7499704495475,True
19670AB,400.0,519.5519611805776,528.7316853181168,534.1155279407707,532.2858112347699,532.2858112347699,532.2858112347699,532.2858112347699,532.2858112347699,532.2858112347699,532.2858112347699,True
19670A,400.0,464.60854457638663,467.30015423917865,466.10807061249204,467.7999809099596,467.7999809099596,467.7999809099596,467.7999809099596,467.7999809099596,467.7999809099596,467.7999809099596,True
19670B,400.0,519.254712290022,549.5085512170901,557.5386660272435,562.6888610383671,562.6888610383671,562.6888610383671,562.6888610383671,562.6888610383671,562.6888610383671,562.6888610383671,True
19670C,400.0,83.4992780183402,,,,,,,,,,False
19670D,400.0,457.423533735768,472.0059470384932,475.1958914613354,476.46591847412964,476.4659184741297,476.46591847412975,476.4659184741298,476.46591847412986,476.4659184741299,476.4659184741299,True
12833A,400.0,528.057087730651,552.1654932048958,557.0576318292863,556.7035628745726,556.7035628745726,556.7035628745726,556.7035628745726,556.7035628745726,556.7035628745726,556.7035628745726,True
12833B,400.0,498.64045778371815,508.09162673400374,494.8834860642387,511.8376826653638,511.8376826653638,511.8376826653638,511.8376826653638,511.8376826653638,511.8376826653638,511.8376826653638,True
J083829.2+441904.8,400.0,57.21071171859582,,,,,,,,,,False
44858,400.0,707.65115807249,749.8972140104195,760.9810923724528,763.2759892937191,763.2759892937192,763.2759892937194,763.2759892937195,763.2759892937197,763.2759892937197,763.2759892937197,True
J215504.8-093520,400.0,626.199463058824,647.3732678501339,650.123207181678,650.165410056189,650.165410056189,650.165410056189,650.165410056189,650.165410056189,650.165410056189,650.165410056189,True
J215437.2-091532.4,400.0,125.82185980816318,308.5660368960285,398.9229065427509,240.88712192942006,421.46282963696206,129.52217505028287,312.0905858918573,396.83681610557056,184.767287573571,394.6049200920193,False
50433,400.0,531.4450514704558,505.8399152755697,511.73798585063,515.5671271857136,515.5671271857136,515.5671271857136,515.5671271857136,515.5671271857136,515.5671271857136,515.5671271857136,True
