name,0,1,2,3,4,5,6,7,8,9,10,converged
25124A,400.0,771.1723864923895,862.4268573293195,866.1024003126494,867.6477669173366,867.6477669173366,867.6477669173366,867.6477669173366,867.6477669173366,867.6477669173366,867.6477669173366,True
25124B,400.0,626.6820775841179,661.6084290208289,610.9300031865162,665.4338604609795,665.4338604609795,665.4338604609795,665.4338604609795,665.4338604609795,665.4338604609795,665.4338604609795,True
25124C,400.0,685.5274691284355,585.9738488391728,503.8887997995799,504.3497621249654,504.3497621249654,504.3497621249654,504.3497621249654,504.3497621249654,504.3497621249654,504.3497621249654,True
44739,400.0,429.5682229280592,427.3958922507602,421.98595499405536,426.9781687185431,426.9781687185431,426.9781687185431,426.9781687185431,426.9781687185431,426.9781687185431,426.9781687185431,True
19670AB,400.0,560.7075963952467,498.7891656687787,528.4443254091458,614.3360721716103,505.2139874600242,527.1399376586229,527.1399376586229,527.1399376586229,527.1399376586229,527.1399376586229,True
19670A,400.0,499.4438578709823,464.7174103159266,467.13523453048117,462.17732821822807,462.1773282182281,462.1773282182282,462.17732821822824,462.17732821822824,462.17732821822824,462.17732821822824,True
19670B,400.0,590.1715741052268,597.5702220535626,588.6592327973326,591.6108143095726,591.6108143095726,591.6108143095726,591.6108143095726,591.6108143095726,591.6108143095726,591.6108143095726,True
19670C,400.0,26.750998191479006,,,,,,,,,,False
19670D,400.0,863.8956548109181,817.2487266429337,323.6240645562521,372.05781735191835,217.95598600476524,329.4743421599835,374.8582404257848,834.4681487132049,319.7352831967394,359.7628928708728,False
12833A,400.0,494.4190905566277,484.6525122624935,495.9699603477844,484.16142910658897,484.16142910658897,484.16142910658897,484.16142910658897,484.16142910658897,484.16142910658897,484.16142910658897,True
12833B,400.0,455.0671279794731,434.0180482583297,454.20419276476616,435.47715591898,435.47715591898003,435.4771559189801,435.47715591898015,435.4771559189802,435.4771559189802,435.4771559189802,True
J083829.2+441904.8,400.0,439.35378502600435,,,,,,,,,,False
44858,400.0,685.8889676381557,631.7921716527046,616.8817404493948,627.4640728158788,627.4640728158788,627.4640728158788,627.4640728158788,627.4640728158788,627.4640728158788,627.4640728158788,True
J215504.8-093520,400.0,582.2871530274281,580.9287640179086,580.3225600184744,581.0169691158651,581.0169691158651,581.0169691158651,581.0169691158651,581.0169691158651,581.0169691158651,581.0169691158651,True
J215437.2-091532.4,400.0,235.75555551628563,395.0975929699582,234.4191347910516,393.8712117385903,233.70630693641345,394.4514073727951,234.04885128973663,394.1223666316769,233.96553366242114,393.97035274006004,False
50433,400.0,509.2411096410957,460.6642817717227,478.42310944083624,468.35698035151177,468.3569803515118,468.3569803515119,468.35698035151194,468.356980351512,468.356980351512,468.356980351512,True
