12833 rbs711_126_554      129.398389 44.325363 0.14572  0.575 A  323  -316  99.6
12833 rbs711_135_607      129.383140 44.296795 0.14519  0.998 A  265  -455  99.5
12833 1237654652565651620 129.394131 44.314455 0.14505  1.66  A  261  -492  99.5
12833 rbs711_123_564      129.410462 44.330803 0.14518  1.05  C  340  -457  99.5
12833 rbs711_143_470      129.334488 44.319729 0.14485  1.44  A  631  -544  99.4
12833 rbs711_136_895      129.444666 44.229919 0.14614  0.519 C  627  -207  99.3
12833 rbs711_132_770      129.432936 44.267044 0.14492  1.20  A  272  -525  99.3
12833 rbs711_117_767      129.491115 44.313179 0.14454  0.757 A  484  -625  99.3
12833 rbs711_124_864      129.492903 44.271641 0.14459  1.20  A  517  -612  99.3
12833 rbs711_146_793      129.382281 44.236610 0.14369  0.584 C  610  -847  99.3
12833 1237654652565586007 129.396584 44.231755 0.14514  4.72  A  618  -468  99.3
12833 1237654652565651637 129.497242 44.248864 0.14458  8.14  A  658  -613  99.2
12833 1237654652565651551 129.520232 44.348909 0.14386  2.15  C  818  -802  96.8
12833 1237654652565651712 129.446442 44.379164 0.14691  6.55  A  796    -5  95.9
12833 rbs711_100_604      129.474092 44.395351 0.14496  0.669 C  991  -515  95.7
12833 rbs711_154_921      129.364843 44.192634 0.14592  0.482 C 1032  -264  95.0
12833 rbs711_170_421      129.266596 44.317944 0.14545  5.19  C 1062  -387  95.0
12833 rbs711_172_401      129.262476 44.323036 0.14467  0.803 A 1099  -591  94.9
12833 rbs711_140_550      129.357548 44.303642 0.14728  0.714 C  442    91  94.4
12833 rbs711_121_315      129.340653 44.378765 0.14738  1.03  C  950   118  94.3
12833 1237655108362108987 129.285682 44.320084 0.14751  6.03  A  942   151  94.3
12833 1237654652565586095 129.344588 44.180009 0.14761  3.71  A 1194   177  93.4
12833 1237654652565586098 129.366472 44.166001 0.14542  2.68  C 1262  -396  92.6
12833 rbs711_121_1082     129.569020 44.242108 0.14424  1.46  C 1093  -703  92.6
12833 rbs711_165_990      129.321227 44.164215 0.14478  1.15  A 1397  -562  92.1
12833 1237654652565586126 129.430232 44.151193 0.14501  2.17  C 1343  -501  92.1
12833 1237654652565586160 129.341944 44.282553 0.14802  2.03  C  552   285  88.2
12833 rbs711_151_952      129.384227 44.188805 0.14800  1.15  A 1025   280  88.1
12833 rbs711_203_553      129.183812 44.286568 0.14586  0.919 C 1595  -280  87.4
12833 rbs711_122_1207     129.603338 44.217339 0.14451  0.691 A 1406  -633  81.5
12833 1237655107825238285 129.602299 44.217301 0.14477  1.81  A 1400  -564  81.5
12833 1237655108362109124 129.343638 44.390149 0.14844  2.53  C 1028   394  77.4
12833 rbs711_97_567       129.463434 44.409596 0.14857  0.831 C 1097   429  73.2
12833 rbs711_157_1246     129.386401 44.102791 0.14504  1.30  C 1810  -494  71.1
12833 rbs711_152_1014     129.385972 44.170589 0.14877  1.09  A 1188   481  70.2
12833 1237655107825303599 129.649314 44.232407 0.14367  3.64  E 1620  -851  69.2
12833 1237654652565717293 129.560989 44.425002 0.14736  2.03  C 1517   112  69.2
12833 rbs711_143_1352     129.499970 44.105369 0.14697  1.26  A 1842    10  68.9
